Name, number_stars,  s01,  s02,  s03,  s04,  s05,  s06,  s07,  s08,  s09,  s10,  s11,  s12,  s13,  s14,  s15,  s16,  s17,  s18,  s19,  s20,  s21,  s22,  s23,  s24,  s25,  s26,  s27,  s28,  s29,  s30, s31
 ,  2, 4853, 4656,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Crux,  2, 4730, 4763,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Corvus,  6, 4623, 4630, 4662, 4757, 4786, 4630,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Cygnus, 11, 7417, 7615, 7796, 7949, 8115, 7949, 7796, 7924, 7796, 7528, 7420,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Delphinus,  6, 7852, 7882, 7906, 7948, 7928, 7882,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Dorado,  10, 1338, 1465, 1922, 1465, 1674, 1922, 2015, 1922, 2102, 2015,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Draco, 17, 6688, 6705, 6536, 6554, 6688, 7310, 7582, 6927, 6636, 6396, 6132, 5986, 5744, 5291, 4787, 4434, 3751,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Equuleus,  4, 8131, 8178, 8123, 8097,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Eridanus, 31, 1666, 1560, 1520, 1463, 1298, 1231, 1136, 1084,  874,  811,  818,  919, 1003, 1088, 1173, 1213, 1240, 1464, 1393, 1347, 1195, 1190, 1106, 1008,  898,  794,  789,  721,  674,  566,  472
Fornax,  3,  963,  841,  612,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Gemini, 26, 2134, 2216, 2286, 2473, 2343, 2473, 2697, 2852, 2890, 2852, 2697, 2540, 2697, 2821, 2905, 2990, 2905, 2985, 2905, 2777, 2650, 2421, 2650, 2777, 2763, 2484,     ,     ,     ,     ,     
Grus, 11, 8353, 8411, 8556, 8636, 8425, 8636, 8675, 8747, 8675, 8820, 8787,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Hercules, 19, 6324, 6418, 6695, 6588, 6695, 6418, 6220, 6168, 6092, 6168, 6220, 6212, 6148, 6212, 6324, 6410, 6623, 6703, 6779,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Horologium,  8,  909,  934,  802,  778,  810,  868, 1326, 1302,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Hydra, 18, 3492, 3482, 3410, 3418, 3454, 3492, 3547, 3665, 3845, 3748, 3903, 3994, 4094, 4232, 4450, 4552, 5020, 5287,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Hydrus,  5,  591,  705,  806, 1208,   98,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Indus,  5, 7869, 7986, 8368, 8140, 7869,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Leo Minor,  3, 4247, 4100, 3974,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Lacerta, 12, 8498, 8485, 8579, 8632, 8579, 8523, 8579, 8572, 8541, 8538, 8585, 8572,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Leo, 18, 3873, 3905, 4031, 4058, 3975, 3982, 3852, 3982, 4359, 4399, 4386, 4399, 4359, 4534, 4357, 4359, 4357, 4058,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Lepus,  22, 1654, 1702, 1654, 1829, 1983, 2035, 1865, 1829, 1865, 1702, 1756, 1757, 1756, 1702, 1705, 1696, 1705, 1702, 1865, 1998, 2085, 2155,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Libra,  9, 5908, 5787, 5685, 5531, 5603, 5685, 5603, 5794, 5812,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Lupus, 17, 5948, 5883, 5991, 5948, 5776, 5695, 5705, 5695, 5571, 5469, 5396, 5469, 5649, 5453, 5649, 5797, 5776,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Lynx,  8, 3705, 3690, 3612, 3579, 3275, 2818, 2560, 2238,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Lyra,  6, 7001, 7056, 7106, 7178, 7139, 7056,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Mensa,  4, 2261, 1953, 1629, 1677,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Microscopium,  4, 8151, 8135, 8039, 7965,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Monoceros, 10, 2385, 2298, 2506, 2714, 2356, 2227, 2356, 2714, 3188, 2970,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Musca,  7, 4798, 4773, 4923, 4844, 4798, 4671, 4520,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Norma,  6, 5962, 6115, 6072, 6024, 5962, 6072,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Octans,  4, 8630, 5339, 8254, 8630,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Ophiuchus,  9, 6556, 6299, 6149, 6056, 6075, 6175, 6378, 6603, 6556,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Orion, 33, 1948, 2004, 1713, 1852, 1790, 1879, 2061, 2124, 2199, 2159, 2199, 2124, 2159, 2047, 2135, 2199, 2124, 2061, 1948, 1903, 1852, 1790, 1543, 1552, 1567, 1601, 1567, 1552, 1543, 1544, 1580, 1638, 1676,     
Pavo, 18, 7665, 7913, 8181, 7790, 7665, 8181, 7665, 7590, 6982, 7107, 7074, 6745, 6582, 6745, 6855, 7074, 7107, 7665,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Pegasus, 13, 8454, 8650, 8775,   15, 8775, 8781,   39,   15,   39, 8781, 8634, 8450, 8308,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Perseus,  9,  936,  941, 1017,  915, 1017, 1122, 1220, 1228, 1203,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Phoenix, 10,   99,  322,  429,  440,  429,  322,  338,  191,   25,   99,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
